Artist,Track,SpotifyID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Key_mode_Ratio,duration_ms,billboard_hit
TEN MADISON,Elementro,3CUy0hbSXfS372XJsItQHE,0.663,0.954,-7.929,0.0493,0.00125,0.878,0.123,0.424,138.998,0.0,405373,0
Atman,All Is One,5y3xCIPqBxnHLaKy1ZABXh,0.646,0.728,-8.098,0.0394,0.0374,0.0135,0.0812,0.44,89.367,6.0,437027,0
The Pineapple Thief,Run A Mile,2RzgZRxbULqa3D633vpDxL,0.563,0.825,-8.047,0.0423,0.00207,0.0748,0.0614,0.0762,140.034,0.0,399827,0
Diesel Boy,Dragonfly,0t1CIfedJw9trqT9P8AtsN,0.387,0.976,-4.783,0.128,0.00397,0.000739,0.0773,0.635,106.514,0.0,140013,0
Jake Hess,So Many Reasons,28abPJWLtDPXBZA21K7gLA,0.411,0.231,-16.865,0.0308,0.841,8.19e-05,0.326,0.359,79.589,7.0,171160,0
Jack Johnson,Fortunate Fool,3lBV2e6PeAOa0DqGxWCErF,0.808,0.267,-10.415,0.0426,0.609,0.00343,0.119,0.32,129.266,4.0,229507,0
Showbread,Nothing Matters Anymore,2FwLSjB34hU1s5LfEVZmur,0.31,0.961,-3.794,0.0456,0.000396,0.0,0.656,0.234,164.939,9.0,252400,0
Cal Tjader,Anyone Who Had A Heart,1N4p1c698MCICc4rSZcvFR,0.385,0.323,-14.38,0.0299,0.714,0.841,0.0809,0.242,111.612,0.0,194271,0
Showbread,The Pig,7so5fghPruFAMcD0UBMGCP,0.391,0.586,-6.7,0.035,0.00191,0.124,0.175,0.153,120.417,4.0,297653,0
Chris Standring,Through the Looking Glass (jazz),2HSk1TUOBPzBIZVUF1yg8O,0.775,0.561,-9.538,0.0324,0.701,0.653,0.124,0.909,109.983,8.0,266040,0
Moonspell,Alma Mater,6aY8pSRwrJ9IjPAzr0dd0S,0.235,0.867,-6.408,0.0647,0.000133,0.000938,0.0758,0.305,142.939,0.0,337307,0
Finntroll,Ormhäxan,1YJVM6rutWXjZyFqtieFxe,0.4,0.916,-5.54,0.0621,3.71e-06,0.763,0.318,0.377,89.969,2.0,278960,0
Weezer,Dope Nose,741oLronOsunwlx4MSZ6YY,0.416,0.724,-4.87,0.0512,0.000336,0.0788,0.247,0.819,127.357,10.0,137400,0
Anthony Cruz,Make it up,0NI3HiXvMopVPOAX55yomA,0.441,0.706,-5.926,0.182,0.538,0.0,0.168,0.721,78.251,0.0,263600,0
The Jeff Healey Band,It Could All Get Blown Away,2YbL2OLsMCbd0B1bmcKyWx,0.503,0.738,-6.643,0.034,0.00428,0.000109,0.197,0.635,94.447,0.0,283107,0
The Irish Tenors,The Croppy Boy,5B6obY6avJOv8bhxOmFr7a,0.26,0.035,-21.021,0.0367,0.951,2.48e-06,0.109,0.0978,94.532,10.0,283653,0
Eyes Set to Kill,Play The Part,6rLY82n9Sr55rJJB2Lripj,0.41,0.997,-3.862,0.152,0.00157,0.0,0.16,0.256,194.998,8.0,159053,0
Keep Of Kalessin,Many Are We,5KbyTMn0b4JhsfELSFP8EB,0.374,0.997,-5.078,0.202,0.00087,0.805,0.255,0.036,109.883,3.0,292427,0
Bryan Ferry,Ja Nun Hons Pris,4pE4p572JJnz5gQDFLaTc4,0.488,0.216,-15.521,0.0704,0.771,0.0,0.465,0.562,103.748,0.0,35600,0
DAVE MATTHEWS BAND,Tripping Billies,4fXoeBGrVWfNKpdcmL8tw6,0.569,0.932,-5.659,0.0388,0.000496,0.0342,0.259,0.944,120.858,0.0,300440,0
Gorillaz,November Has Come,6lrDckuosGpwEHtm1hHBcf,0.702,0.567,-8.561,0.239,0.0815,2.75e-05,0.0864,0.667,84.153,7.0,165093,0
Martin Sexton,Things You Do To Me,3DoMzp8ivs4fN1iuseKDUd,0.748,0.771,-9.164,0.118,0.0433,0.000127,0.975,0.642,103.219,1.0,256653,0
Amy Winehouse,Valerie,6CQaVuICm1WVXyy3SZ5jEI,0.757,0.367,-5.759,0.0354,0.736,0.0,0.157,0.681,96.008,0.0,233733,0
Cabas,Como Nuestro Amor No Hay Dos,3z0gWc0eBtrX4GQuoQD6ue,0.714,0.864,-5.96,0.0662,0.585,0.0,0.279,0.81,108.061,0.0,208413,0
Eko Fresh feat. Ado,Ich bleib so wie ich bin,0oy3Yuuy25mftpP7s66p50,0.66,0.832,-6.092,0.281,0.0261,5.36e-05,0.277,0.523,126.644,0.0,215933,0
Paul Avgerinos,Song Without End,5iUA8f4w4gCugEJ3TCCQvf,0.198,0.189,-17.325,0.0354,0.965,0.764,0.0917,0.032,67.933,9.0,324507,0
Pennywise,6TH Avenue Nightmare,4rp7ApQkFSVMOfu2kUnu3A,0.344,0.954,-4.856,0.146,9.91e-05,1.79e-06,0.303,0.6,101.365,9.0,159707,0
Charlotte Gainsbourg,Le Chat du Café des Artistes,7jiyWF0n7mcUoSJnhxX4dv,0.518,0.492,-9.77,0.0268,0.038,0.772,0.172,0.217,75.095,0.0,241654,0
Sandra Mihanovich,Cuatro Estrofas,2qXLJMX8rpSWURNev0I8pG,0.274,0.379,-15.143,0.0651,0.94,0.00144,0.932,0.38,86.441,9.0,297800,0
Dixie Chicks,Give It Up Or Let Me Go,318AgoKVYc1BuX8XBthGtR,0.617,0.905,-4.329,0.0321,0.119,0.00117,0.77,0.769,103.862,2.0,296313,0
Bon Jovi,Wildflower,2NDDG5phjR9swZm4vN1sB6,0.441,0.621,-6.034,0.0278,0.0217,0.0,0.18,0.346,92.787,7.0,253800,0
Nana Mouskouri,Only You,3gRzQHkIFrqmSDlaYgMJto,0.4,0.388,-10.545,0.0309,0.701,2.55e-06,0.113,0.235,137.766,2.0,177760,0
Cam'Ron,O.T. (Skit),6g1J1ZWIN3aeVz50AwFcly,0.609,0.0768,-27.982,0.956,0.86,0.0,0.251,0.928,168.825,8.0,24760,0
Alceu Valença,Na Primeira Manhã,0w9CQrvs3rPFluFMSe6IVm,0.486,0.448,-8.844,0.0314,0.299,9.76e-05,0.149,0.251,116.518,0.0,264333,0
Fruko Y Sus Tesos,La Fruta Bomba,6IJYI6jSazvKqjIR7LIg15,0.826,0.845,-6.804,0.0457,0.149,0.000366,0.0331,0.892,105.88,8.0,242773,0
Simply Red,Thrill Me,4vBhDli1CkhxNJfwoLjbZu,0.618,0.921,-6.598,0.045,0.0696,0.0263,0.176,0.875,93.988,0.0,303960,0
Rauni Pekkala,Miesten tähden,5XS45S72sqIWAHrxeJwfdC,0.633,0.753,-4.369,0.0524,0.682,0.0,0.203,0.901,95.583,1.0,156822,0
Bobby Pulido,Alma De Metal,6waixitHsUqvma2okZlYWf,0.367,0.6,-8.828,0.0343,0.248,0.0,0.113,0.746,200.115,9.0,216267,0
Alex Gopher,Song For Paul,5yIU0OTJxIV3uAp4kRi9bP,0.58,0.242,-12.264,0.0283,0.701,1.63e-05,0.0953,0.126,79.924,4.0,166933,0
Stefon Harris,From the Gardner Meditations: African Tarantella,6Dyqsvfsu3hae5pssdJx69,0.343,0.461,-10.851,0.0368,0.917,0.853,0.288,0.293,70.155,0.0,538240,0
Bob Hope,Merry-Go-Runaround,06KhbhKvP3clJKyahQZrF7,0.72,0.333,-10.34,0.116,0.938,0.0,0.148,0.725,75.729,6.0,184707,0
Pyranja,Anfang Vom Ende,5kaPKZZ0g5eoM3glYCqGnp,0.721,0.7,-8.817,0.32,0.408,1.68e-05,0.596,0.639,95.914,0.0,64360,0
Paul Avgerinos,In My Heart,3iN9esht6YwaTKhCh2T2Wo,0.0706,0.0668,-26.717,0.0487,0.976,0.978,0.108,0.0279,76.312,4.0,338960,0
ATB,Collides With Beauty,0WC05B34BCl3ue6NV0IdU7,0.595,0.896,-6.789,0.0407,0.0418,0.603,0.681,0.797,136.988,0.0,349000,0
Fake Problems,Tabernacle Song,7oyN8MerOLN6C2oXL7wiW5,0.401,0.625,-6.252,0.0294,0.0124,0.0,0.171,0.508,103.548,0.0,193467,0
Héroes del Silencio,El Mar No Cesa (Live),08v40ca902gDGV6HAymDqn,0.414,0.925,-5.983,0.0648,0.0195,3.6e-05,0.773,0.41,162.02,2.0,197387,0
Elvenking,Trows Kind,4fh642QUhDrz1Hwb0XNt8t,0.509,0.902,-5.273,0.0466,2.91e-05,4.01e-05,0.221,0.527,100.065,0.0,357520,0
Keep Of Kalessin,Ascendant,48cPRLFfSpLqFIibMWZQVw,0.403,0.983,-3.638,0.126,0.000689,0.000885,0.0415,0.141,114.881,0.0,271413,0
Berrogüetto,Nadal De Luintra,2viEm33c6hSggHsAUzsUry,0.329,0.304,-7.434,0.0267,0.409,3.28e-05,0.105,0.282,97.925,2.0,246120,0
Alice In Chains,Angry Chair,5jCp5VtcpUlHtW8Dwlx13Y,0.325,0.937,-6.295,0.085,0.0443,0.0,0.0442,0.158,106.989,8.0,287800,0
Cadacross,Bring Out Your Dead,3VH2u3AdHyOLf0OoqbSUFD,0.5,0.974,-4.321,0.0672,0.000876,0.572,0.0939,0.365,92.492,0.0,217992,0
Anti-Flag,The Modern Rome Burning,0Nzj1diXyRs5WvcfsBz2mC,0.245,0.963,-3.698,0.224,0.00352,0.000297,0.118,0.331,187.913,0.0,258000,0
Dope Stars Inc.,Chase The Light,6kb6MFnfdcN1KP6bUZ8Cio,0.483,0.959,-4.66,0.0333,5.29e-06,0.216,0.297,0.891,155.029,0.0,233467,0
The Vaughan Brothers,Good Texan,34d6n6HMfyOiQjudsxbfeh,0.79,0.588,-10.241,0.0519,0.0511,0.0013,0.29,0.82,142.573,9.0,262293,0
James Horner,The Stranger,42cxGI452dmBWVdjdefkUC,0.275,0.0441,-30.517,0.0333,0.838,0.624,0.113,0.0771,94.917,0.0,231587,0
